[PORTFOLIO_STATS],,,,,,,,,
field,value,,,,,,,,
model_ytd,0.00%,,,,,,,,
model_1yr,0.00%,,,,,,,,
model_3yr,0.00%,,,,,,,,
benchmark,QQQ,,,,,,,,
benchmark_ytd,0.00%,,,,,,,,
benchmark_1yr,0.00%,,,,,,,,
benchmark_3yr,0.00%,,,,,,,,
benchmark2,S&P 500,,,,,,,,
benchmark2_ytd,0.00%,,,,,,,,
benchmark2_1yr,0.00%,,,,,,,,
benchmark2_3yr,0.00%,,,,,,,,
cash_pct,0.00%,,,,,,,,
max_name_wt,0.00%,,,,,,,,
top_sector,TBD,,,,,,,,
top_sector_wt,0.00%,,,,,,,,
sector_limit,30,,,,,,,,
name_limit,8,,,,,,,,
strategy,Model 1R — Aggressive All-Cap Growth (Retirement),,,,,,,,
last_meeting,TBD,,,,,,,,
next_meeting,TBD,,,,,,,,
committee_size,6,,,,,,,,
quorum,4,,,,,,,,
,,,,,,,,,
[SECTOR_WEIGHTS],,,,,,,,,
sector,weight_pct,,,,,,,,
Placeholder Sector A,0,,,,,,,,
Placeholder Sector B,0,,,,,,,,
Cash,0,,,,,,,,
,,,,,,,,,
[MEETING_NOTES],,,,,,,,,
meeting_date,attendees,decisions,action_items,,,,,,
6/10/2025,Member A; Member B; Member C,Decision 1; Decision 2,Action 1 — Owner A; Action 2 — Owner B,,,,,,
,,,,,,,,,
[AGENDA],,,,,,,,,
item_number,title,description,,,,,,,
1,Portfolio Review — YTD Attribution,Winners/losers; sector contribution; benchmark compare,,,,,,,
2,Add/Drop Votes,See voting ledger below,,,,,,,
3,Risk Dashboard Review,Sector caps; concentration flags; monitoring signals,,,,,,,
,,,,,,,,,
[HOLDINGS],,,,,,,,,
ticker,name,sector,current_weight,target_weight,description,rationale,bull_case,bear_case,signal
PLACEHOLDER,Company Name,Sector,0,0,Business description here,Rationale here,Bull case here,Bear case here,GREEN
,,,,,,,,,
[VOTES],,,,,,,,,
ticker,name,action,rationale,votes_for,votes_against,votes_abstain,status,notes,target_date
PLACEHOLDER,Company Name,Add,Rationale here,0,0,0,Pending,Notes here,TBD
,,,,,,,,,
[WATCHLIST],,,,,,,,,
ticker,name,sector,thesis,why_not_owned,priority,,,,
PLACEHOLDER,Company Name,Sector,Thesis here,Why not owned here,HIGH,,,,
